"product_cat_key","category_name","product_subcat_key","subcat_name","productkey","product_name","color"
2,"Components",14,"Road Frames",210,"HL Road Frame - Black, 58","Black"
2,"Components",14,"Road Frames",210,"HL Road Frame - Black, 58","Black"
2,"Components",14,"Road Frames",210,"HL Road Frame - Black, 58","Black"
2,"Components",14,"Road Frames",210,"HL Road Frame - Black, 58","Black"
2,"Components",14,"Road Frames",211,"HL Road Frame - Red, 58","Red"
2,"Components",14,"Road Frames",211,"HL Road Frame - Red, 58","Red"
2,"Components",14,"Road Frames",211,"HL Road Frame - Red, 58","Red"
2,"Components",14,"Road Frames",211,"HL Road Frame - Red, 58","Red"
4,"Accessories",31,"Helmets",212,"Sport-100 Helmet, Red","Red"
4,"Accessories",31,"Helmets",212,"Sport-100 Helmet, Red","Red"
4,"Accessories",31,"Helmets",212,"Sport-100 Helmet, Red","Red"
4,"Accessories",31,"Helmets",212,"Sport-100 Helmet, Red","Red"
4,"Accessories",31,"Helmets",213,"Sport-100 Helmet, Red","Red"
4,"Accessories",31,"Helmets",213,"Sport-100 Helmet, Red","Red"
4,"Accessories",31,"Helmets",213,"Sport-100 Helmet, Red","Red"
4,"Accessories",31,"Helmets",213,"Sport-100 Helmet, Red","Red"
4,"Accessories",31,"Helmets",214,"Sport-100 Helmet, Red","Red"
4,"Accessories",31,"Helmets",214,"Sport-100 Helmet, Red","Red"
4,"Accessories",31,"Helmets",214,"Sport-100 Helmet, Red","Red"
4,"Accessories",31,"Helmets",214,"Sport-100 Helmet, Red","Red"
4,"Accessories",31,"Helmets",215,"Sport-100 Helmet, Black","Black"
4,"Accessories",31,"Helmets",215,"Sport-100 Helmet, Black","Black"
4,"Accessories",31,"Helmets",215,"Sport-100 Helmet, Black","Black"
4,"Accessories",31,"Helmets",215,"Sport-100 Helmet, Black","Black"
4,"Accessories",31,"Helmets",216,"Sport-100 Helmet, Black","Black"
4,"Accessories",31,"Helmets",216,"Sport-100 Helmet, Black","Black"
4,"Accessories",31,"Helmets",216,"Sport-100 Helmet, Black","Black"
4,"Accessories",31,"Helmets",216,"Sport-100 Helmet, Black","Black"
4,"Accessories",31,"Helmets",217,"Sport-100 Helmet, Black","Black"
